Name,Location,Paths,ID,Desc.,km,km change,Type,Device,Device direction,Track ID
N7224,260427.05685029176,338189.9435039884,P2088,P2089,Standard Gauge Track,null,0.0,,,,,
N7233,260505.69661412196,338254.69277544896,P2087,P2088,Standard Gauge Track,null,0.0,,,,,
N7236,260596.87415058396,338318.5010354053,P2086,P2087,Standard Gauge Track,null,0.0,,,,,
N7237,260668.16395718328,338368.63089945645,P2085,P2086,Standard Gauge Track,null,0.0,,,,,
N7242,260745.82283826135,338424.9384741676,P2084,P2085,Standard Gauge Track,null,0.0,,,,,
N7404,259833.01610296537,338665.7308833718,P2106,P2107,Standard Gauge Track,null,0.0,,,,,
N7423,259933.37883082117,338563.56231590704,P2104,P2827,Standard Gauge Track,null,0.0,,,,,
N7430,259953.34008320136,338521.26585090056,P2102,P2103,Standard Gauge Track,null,0.0,,,,,
N7435,259776.57650253485,338699.99746669916,P2107,P2108,Standard Gauge Track,null,0.0,,,,,
N7447,259868.47062134012,338641.41696366156,P2105,P2106,Standard Gauge Track,null,0.0,,,,,
N7456,259902.01377315924,338607.9601470288,P2105,P2899,Standard Gauge Track,null,0.0,,,,,
N7685,259745.8468401295,338720.61983403127,P2108,P2109,Standard Gauge Track,null,0.0,,,,,
N7688,259722.83828707627,338738.03341698344,P2109,P2110,Standard Gauge Track,null,0.0,,,,,
N7693,259677.69332119147,338777.173667149,P2110,P2111,Standard Gauge Track,null,0.0,,,,,
N7696,259639.79712164833,338811.57020043355,P2111,P2112,Standard Gauge Track,null,0.0,,,,,
N7699,259604.41978043423,338843.0522255428,P2112,P2113,Standard Gauge Track,null,0.0,,,,,
N7703,259573.0006643788,338866.42079859716,P2113,P2114,Standard Gauge Track,null,0.0,,,,,
N7705,259539.42218413393,338886.6288877408,P2114,P2115,Standard Gauge Track,null,0.0,,,,,
N7708,259485.6773141772,338910.1384645602,P2115,P2116,Standard Gauge Track,null,0.0,,,,,
N7710,259446.49444453372,338922.18062995083,P2116,P2117,Standard Gauge Track,null,0.0,,,,,
N7712,259230.42462068447,338975.2967348236,P2117,P2118,Standard Gauge Track,null,0.0,,,,,
N7715,259164.81324788422,338989.4000379151,P2118,P2119,Standard Gauge Track,null,0.0,,,,,
N7717,259125.1547330165,338995.09417369065,P2119,P2120,Standard Gauge Track,null,0.0,,,,,
N7718,259070.5309341198,338999.9484169172,P2120,P2121,Standard Gauge Track,null,0.0,,,,,
N7720,259000.05383936348,339005.267984208,P2121,P2122,Standard Gauge Track,null,0.0,,,,,
N7721,258905.11690920516,339012.3868843409,P2122,P2123,Standard Gauge Track,null,0.0,,,,,
N7731,258561.95498894868,339038.4178970787,P2123,P2124,Standard Gauge Track,null,0.0,,,,,
N7734,257632.65925180409,339109.2775578191,P2124,P2125,Standard Gauge Track,null,0.0,,,,,
N7743,256793.40438841196,339173.32794282545,P2125,P2126,Standard Gauge Track,null,0.0,,,,,
N7744,256702.4478936876,339180.2184053137,P2127,P2129,P2846,Standard Gauge Track,null,0.0,,Points:P2846-P2129/(P2127),,,N7744
N8206,249514.92246205037,337992.38035046286,P2269,P2831,Standard Gauge Track,null,0.0,,,,,
N8209,249653.2264234996,337999.28520563885,P2268,P2833,Standard Gauge Track,null,0.0,,,,,
N8212,249755.53280742335,338013.19235447556,P2266,P2267,Standard Gauge Track,null,0.0,,,,,
N8219,249818.16745271353,338025.99974319804,P2265,P2266,Standard Gauge Track,null,0.0,,,,,
N8226,249914.1194385235,338051.114254614,P2264,P2265,Standard Gauge Track,null,0.0,,,,,
N8229,249999.61736202738,338078.4235935977,P2262,P2263,Standard Gauge Track,null,0.0,,,,,
N8241,250057.31289228422,338096.1121941587,P2261,P2262,Standard Gauge Track,null,0.0,,,,,
N8251,250107.98944453217,338111.70537004876,P2260,P2261,Standard Gauge Track,null,0.0,,,,,
N8264,250176.55618992963,338128.9971453167,P2259,P2260,Standard Gauge Track,null,0.0,,,,,
N8270,250227.52768399147,338140.2169480254,P2258,P2259,Standard Gauge Track,null,0.0,,,,,
N8280,250286.39031792566,338151.0901242385,P2257,P2258,Standard Gauge Track,null,0.0,,,,,
N8287,250333.8560455503,338157.6851600436,P2256,P2257,Standard Gauge Track,null,0.0,,,,,
N8292,250382.42358234586,338162.58199656534,P2255,P2256,Standard Gauge Track,null,0.0,,,,,
N8300,250440.4935938793,338165.780386681,P2254,P2255,Standard Gauge Track,null,0.0,,,,,
N8313,250526.34000771158,338166.6202776171,P2253,P2254,Standard Gauge Track,null,0.0,,,,,
N8326,250616.29577938575,338161.51286980766,P2252,P2253,Standard Gauge Track,null,0.0,,,,,
N8335,250684.66607275096,338153.8161529072,P2251,P2252,Standard Gauge Track,null,0.0,,,,,
N8344,250746.21376683217,338144.3511522114,P2250,P2251,Standard Gauge Track,null,0.0,,,,,
N8352,250807.18651970584,338132.85654865176,P2249,P2250,Standard Gauge Track,null,0.0,,,,,
N8361,250867.68323322033,338119.38957952545,P2248,P2249,Standard Gauge Track,null,0.0,,,,,
